Date,Close,Open,High,Low,PE
1996/9/9,663.76001,655.679993,663.77002,655.679993,25.68
1996/9/10,663.809998,663.76001,665.570007,661.549988,25.68
1996/9/11,667.280029,663.809998,667.72998,661.789978,25.68
1996/9/12,671.150024,667.280029,673.070007,667.280029,25.68
1996/9/13,680.539978,671.150024,681.390015,671.150024,25.68
1996/9/16,683.97998,680.539978,686.47998,680.530029,25.68
1996/9/17,682.940002,683.97998,685.799988,679.960022,25.68
1996/9/18,681.469971,682.940002,683.77002,679.75,25.68
1996/9/19,683,681.469971,684.070007,679.059998,25.68
1996/9/20,687.030029,683,687.070007,683,25.68
1996/9/23,686.47998,687.030029,687.030029,681.01001,25.68
1996/9/24,685.609985,686.47998,690.880005,683.539978,25.68
1996/9/25,685.830017,685.609985,688.26001,684.919983,25.68
1996/9/26,685.859985,685.830017,690.150024,683.77002,25.68
1996/9/27,686.190002,685.859985,687.109985,683.72998,25.68
1996/9/30,687.330017,686.190002,690.109985,686.030029,25.68
1996/10/1,689.080017,687.309998,689.539978,684.440002,26.48
1996/10/2,694.01001,689.080017,694.820007,689.080017,26.48
1996/10/3,692.780029,694.01001,694.809998,691.780029,26.48
1996/10/4,701.460022,692.780029,701.73999,692.780029,26.48
1996/10/7,703.340027,701.460022,704.169983,701.390015,26.48
1996/10/8,700.640015,703.340027,705.76001,699.880005,26.48
1996/10/9,696.73999,700.640015,702.359985,694.419983,26.48
1996/10/10,694.609985,696.73999,696.820007,693.340027,26.48
1996/10/11,700.659973,694.609985,700.669983,694.609985,26.48
1996/10/14,703.539978,700.659973,705.159973,700.659973,26.48
1996/10/15,702.570007,703.539978,708.070007,699.070007,26.48
1996/10/16,704.409973,702.570007,704.419983,699.150024,26.48
1996/10/17,706.98999,705,708.52002,704.76001,26.48
1996/10/18,710.820007,706.98999,711.039978,706.109985,26.48
1996/10/21,709.849976,710.820007,714.099976,707.710022,26.48
1996/10/22,706.570007,709.849976,709.849976,704.549988,26.48
1996/10/23,707.27002,706.570007,707.309998,700.97998,26.48
1996/10/24,702.289978,707.27002,708.25,702.109985,26.48
1996/10/25,700.919983,702.289978,704.109985,700.530029,26.48
1996/10/28,697.26001,700.919983,705.400024,697.25,26.48
1996/10/29,701.5,697.26001,703.25,696.219971,26.48
1996/10/30,700.900024,701.5,703.440002,700.049988,26.48
1996/10/31,705.27002,700.900024,706.609985,700.349976,26.48
1996/11/1,703.77002,705.27002,708.599976,701.299988,27.58
1996/11/4,706.72998,703.77002,707.02002,702.840027,27.58
1996/11/5,714.140015,706.72998,714.559998,706.72998,27.58
1996/11/6,724.590027,714.140015,724.599976,712.830017,27.58
1996/11/7,727.650024,724.590027,729.48999,722.22998,27.58
1996/11/8,730.820007,727.650024,730.820007,725.219971,27.58
1996/11/11,731.869995,730.820007,732.599976,729.940002,27.58
1996/11/12,729.559998,731.869995,733.039978,728.200012,27.58
1996/11/13,731.130005,729.559998,732.109985,728.030029,27.58
1996/11/14,735.880005,731.130005,735.98999,729.200012,27.58
1996/11/15,737.619995,735.880005,741.919983,735.150024,27.58
1996/11/18,737.02002,737.619995,739.23999,734.390015,27.58
1996/11/19,742.159973,737.02002,742.179993,736.869995,27.58
1996/11/20,743.950012,742.159973,746.98999,740.400024,27.58
1996/11/21,742.75,743.950012,745.200012,741.080017,27.58
1996/11/22,748.72998,742.75,748.72998,742.75,27.58
1996/11/25,757.030029,748.72998,757.049988,747.98999,27.58
1996/11/26,755.960022,757.030029,762.119995,752.830017,27.58
1996/11/27,755,755.960022,757.299988,753.179993,27.58
1996/11/29,757.02002,755,758.27002,755,27.58
1996/12/2,756.559998,757.02002,757.030029,751.48999,27.72
1996/12/3,748.280029,756.559998,761.75,747.580017,27.72
1996/12/4,745.099976,748.280029,748.400024,738.460022,27.72
1996/12/5,744.380005,745.099976,747.650024,742.609985,27.72
1996/12/6,739.599976,744.380005,744.380005,726.890015,27.72
1996/12/9,749.76001,739.599976,749.76001,739.599976,27.72
1996/12/10,747.539978,749.76001,753.429993,747.02002,27.72
1996/12/11,740.72998,747.539978,747.539978,732.75,27.72
1996/12/12,729.299988,740.72998,744.859985,729.299988,27.72
1996/12/13,728.640015,729.330017,731.400024,721.969971,27.72
1996/12/16,720.97998,728.640015,732.679993,719.400024,27.72
1996/12/17,726.039978,720.97998,727.669983,716.690002,27.72
1996/12/18,731.539978,726.039978,732.76001,726.039978,27.72
1996/12/19,745.76001,731.539978,746.059998,731.539978,27.72
1996/12/20,748.869995,745.76001,755.409973,745.76001,27.72
1996/12/23,746.919983,748.869995,750.400024,743.280029,27.72
1996/12/24,751.030029,746.919983,751.030029,746.919983,27.72
1996/12/26,755.820007,751.030029,757.070007,751.02002,27.72
1996/12/27,756.789978,755.820007,758.75,754.820007,27.72
1996/12/30,753.849976,756.789978,759.200012,752.72998,27.72
1996/12/31,740.73999,753.849976,753.950012,740.73999,27.72
1997/1/2,737.01001,740.73999,742.809998,729.549988,28.33
1997/1/3,748.030029,737.01001,748.23999,737.01001,28.33
1997/1/6,747.650024,748.030029,753.309998,743.820007,28.33
1997/1/7,753.22998,747.650024,753.26001,742.179993,28.33
1997/1/8,748.409973,753.22998,755.719971,747.710022,28.33
1997/1/9,754.849976,748.409973,757.679993,748.409973,28.33
1997/1/10,759.5,754.849976,759.650024,746.919983,28.33
1997/1/13,759.51001,759.5,762.849976,756.690002,28.33
1997/1/14,768.859985,759.51001,772.039978,759.51001,28.33
1997/1/15,767.200012,768.859985,770.950012,763.719971,28.33
1997/1/16,769.75,767.200012,772.049988,765.25,28.33
1997/1/17,776.169983,769.75,776.369995,769.719971,28.33
1997/1/20,776.700012,776.169983,780.080017,774.190002,28.33
1997/1/21,782.719971,776.700012,783.719971,772,28.33
1997/1/22,786.22998,782.719971,786.22998,779.559998,28.33
1997/1/23,777.559998,786.22998,794.669983,776.640015,28.33
1997/1/24,770.52002,777.559998,778.210022,768.169983,28.33
1997/1/27,765.02002,770.52002,771.429993,764.179993,28.33
1997/1/28,765.02002,765.02002,776.320007,761.75,28.33
1997/1/29,772.5,765.02002,772.700012,765.02002,28.33
1997/1/30,784.169983,772.5,784.169983,772.5,28.33
1997/1/31,786.159973,784.169983,791.859985,784.169983,28.33
1997/2/3,786.72998,786.159973,787.140015,783.119995,29.26
1997/2/4,789.26001,786.72998,789.280029,783.679993,29.26
1997/2/5,778.280029,789.26001,792.710022,773.429993,29.26
1997/2/6,780.150024,778.280029,780.349976,774.450012,29.26
1997/2/7,789.559998,780.150024,789.719971,778.190002,29.26
1997/2/10,785.429993,789.559998,793.460022,784.690002,29.26
1997/2/11,789.590027,785.429993,789.599976,780.950012,29.26
1997/2/12,802.77002,789.590027,802.77002,789.590027,29.26
1997/2/13,811.820007,802.77002,812.929993,802.77002,29.26
1997/2/14,808.47998,811.820007,812.200012,808.150024,29.26
1997/2/18,816.289978,808.47998,816.289978,806.340027,29.26
1997/2/19,812.48999,816.289978,817.679993,811.200012,29.26
1997/2/20,802.799988,812.48999,812.48999,800.349976,29.26
1997/2/21,801.77002,802.799988,804.940002,799.98999,29.26
1997/2/24,810.280029,801.77002,810.640015,798.419983,29.26
1997/2/25,812.030029,810.280029,812.849976,807.650024,29.26
1997/2/26,805.679993,812.099976,812.700012,798.130005,29.26
1997/2/27,795.070007,805.679993,805.679993,795.059998,29.26
1997/2/28,790.820007,795.070007,795.700012,788.5,29.26
1997/3/3,795.309998,790.820007,795.309998,785.659973,28.8
1997/3/4,790.950012,795.309998,798.929993,789.97998,28.8
1997/3/5,801.98999,790.950012,801.98999,790.950012,28.8
1997/3/6,798.559998,801.98999,804.109985,797.5,28.8
1997/3/7,804.969971,798.559998,808.190002,798.559998,28.8
1997/3/10,813.650024,804.969971,813.659973,803.659973,28.8
1997/3/11,811.340027,813.650024,814.900024,810.77002,28.8
1997/3/12,804.26001,811.340027,811.340027,801.070007,28.8
1997/3/13,789.559998,804.26001,804.26001,789.440002,28.8
1997/3/14,793.169983,789.559998,796.880005,789.559998,28.8
1997/3/17,795.710022,793.169983,796.280029,782.97998,28.8
1997/3/18,789.659973,795.710022,797.179993,785.469971,28.8
1997/3/19,785.77002,789.659973,791.590027,780.030029,28.8
1997/3/20,782.650024,785.77002,786.289978,778.039978,28.8
1997/3/21,784.099976,782.650024,786.440002,782.650024,28.8
1997/3/24,790.890015,784.099976,791.01001,780.789978,28.8
1997/3/25,789.070007,790.890015,798.109985,788.390015,28.8
1997/3/26,790.5,789.070007,794.890015,786.77002,28.8
1997/3/27,773.880005,790.5,792.580017,767.320007,28.8
1997/3/31,757.119995,773.880005,773.880005,756.130005,28.8
1997/4/1,759.640015,757.119995,761.48999,751.26001,27.58
1997/4/2,750.109985,759.640015,759.650024,747.590027,27.58
1997/4/3,750.320007,750.109985,751.039978,744.400024,27.58
1997/4/4,757.900024,750.320007,757.900024,744.039978,27.58
1997/4/7,762.130005,757.900024,764.820007,757.900024,27.58
1997/4/8,766.119995,762.130005,766.25,758.359985,27.58
1997/4/9,760.599976,766.119995,769.530029,759.150024,27.58
1997/4/10,758.340027,760.599976,763.72998,757.650024,27.58
1997/4/11,737.650024,758.340027,758.340027,737.640015,27.58
1997/4/14,743.72998,737.650024,743.72998,733.539978,27.58
1997/4/15,754.719971,743.72998,754.719971,743.72998,27.58
1997/4/16,763.530029,754.719971,763.530029,751.98999,27.58
1997/4/17,761.77002,763.530029,768.549988,760.48999,27.58
1997/4/18,766.340027,761.77002,767.929993,761.77002,27.58
1997/4/21,760.369995,766.340027,767.390015,756.380005,27.58
1997/4/22,774.609985,760.369995,774.640015,759.900024,27.58
1997/4/23,773.640015,774.609985,778.190002,771.900024,27.58
1997/4/24,771.179993,773.640015,779.890015,769.719971,27.58
1997/4/25,765.369995,771.179993,771.179993,764.630005,27.58
1997/4/28,772.960022,765.369995,773.890015,763.299988,27.58
1997/4/29,794.049988,772.960022,794.440002,772.960022,27.58
1997/4/30,801.340027,794.049988,804.130005,791.210022,27.58
1997/5/1,798.530029,801.340027,802.950012,793.210022,29.93
1997/5/2,812.969971,798.530029,812.98999,798.530029,29.93
1997/5/5,830.289978,812.969971,830.289978,811.799988,29.93
1997/5/6,827.76001,830.23999,832.289978,824.700012,29.93
1997/5/7,815.619995,827.76001,827.76001,814.700012,29.93
1997/5/8,820.26001,815.619995,829.090027,811.840027,29.93
1997/5/9,824.780029,820.26001,827.690002,815.780029,29.93
1997/5/12,837.659973,824.780029,838.559998,824.780029,29.93
1997/5/13,833.130005,837.659973,838.48999,829.119995,29.93
1997/5/14,836.039978,833.130005,841.289978,833.130005,29.93
1997/5/15,841.880005,836.039978,842.450012,833.340027,29.93
1997/5/16,829.75,841.880005,841.880005,829.150024,29.93
1997/5/19,833.27002,829.75,835.919983,828.869995,29.93
1997/5/20,841.659973,833.27002,841.960022,826.409973,29.93
1997/5/21,839.349976,841.659973,846.869995,835.219971,29.93
1997/5/22,835.659973,839.349976,841.909973,833.859985,29.93
1997/5/23,847.030029,835.659973,848.48999,835.659973,29.93
1997/5/27,849.710022,847.030029,851.530029,840.960022,29.93
1997/5/28,847.210022,849.710022,850.950012,843.210022,29.93
1997/5/29,844.080017,847.210022,848.960022,842.609985,29.93
1997/5/30,848.280029,844.080017,851.869995,831.869995,29.93
1997/6/2,846.359985,848.280029,851.340027,844.609985,31.25
1997/6/3,845.47998,846.359985,850.559998,841.51001,31.25
1997/6/4,840.109985,845.47998,845.549988,838.820007,31.25
1997/6/5,843.429993,840.109985,848.890015,840.109985,31.25
1997/6/6,858.01001,843.429993,859.23999,843.359985,31.25
1997/6/9,862.909973,858.01001,865.140015,858.01001,31.25
1997/6/10,865.27002,862.909973,870.049988,862.179993,31.25
1997/6/11,869.570007,865.27002,870.659973,865.150024,31.25
1997/6/12,883.460022,869.570007,884.340027,869.01001,31.25
1997/6/13,893.27002,883.47998,894.690002,883.47998,31.25
1997/6/16,893.900024,893.27002,895.169983,891.210022,31.25
1997/6/17,894.419983,893.900024,897.599976,886.190002,31.25
1997/6/18,889.059998,894.419983,894.419983,887.030029,31.25
1997/6/19,897.98999,889.059998,900.090027,888.98999,31.25
1997/6/20,898.700012,897.98999,901.77002,897.77002,31.25
1997/6/23,878.619995,898.700012,898.700012,878.429993,31.25
1997/6/24,896.340027,878.619995,896.75,878.619995,31.25
1997/6/25,888.98999,896.340027,902.090027,882.23999,31.25
1997/6/26,883.679993,888.98999,893.210022,879.320007,31.25
1997/6/27,887.299988,883.679993,894.700012,883.679993,31.25
1997/6/30,885.140015,887.299988,892.619995,879.820007,31.25
1997/7/1,891.030029,885.140015,893.880005,884.539978,32.76
1997/7/2,904.030029,891.030029,904.049988,891.030029,32.76
1997/7/3,916.919983,904.030029,917.820007,904.030029,32.76
1997/7/7,912.200012,916.919983,923.26001,909.690002,32.76
1997/7/8,918.75,912.200012,918.76001,911.559998,32.76
1997/7/9,907.539978,918.75,922.030029,902.47998,32.76
1997/7/10,913.780029,907.539978,916.539978,904.309998,32.76
1997/7/11,916.679993,913.780029,919.73999,913.109985,32.76
1997/7/14,918.380005,916.679993,921.780029,912.02002,32.76
1997/7/15,925.76001,918.380005,926.150024,914.52002,32.76
1997/7/16,936.590027,925.76001,939.320007,925.76001,32.76
1997/7/17,931.609985,936.590027,936.960022,927.900024,32.76
1997/7/18,915.299988,931.609985,931.609985,912.900024,32.76
1997/7/21,912.940002,915.299988,915.380005,907.119995,32.76
1997/7/22,933.97998,912.940002,934.380005,912.940002,32.76
1997/7/23,936.559998,933.97998,941.799988,933.97998,32.76
1997/7/24,940.299988,936.559998,941.51001,926.909973,32.76
1997/7/25,938.789978,940.299988,945.650024,936.090027,32.76
1997/7/28,936.450012,938.789978,942.969971,935.190002,32.76
1997/7/29,942.289978,936.450012,942.960022,932.559998,32.76
1997/7/30,952.289978,942.289978,953.97998,941.97998,32.76
1997/7/31,954.309998,952.289978,957.72998,948.890015,32.76
1997/8/1,947.140015,954.289978,955.349976,939.039978,32.58
1997/8/4,950.299988,947.140015,953.179993,943.599976,32.58
1997/8/5,952.369995,950.299988,954.210022,948.919983,32.58
1997/8/6,960.320007,952.369995,962.429993,949.450012,32.58
1997/8/7,951.190002,960.320007,964.169983,950.869995,32.58
1997/8/8,933.539978,951.190002,951.190002,925.73999,32.58
1997/8/11,937,933.539978,938.5,925.390015,32.58
1997/8/12,926.530029,937,942.98999,925.659973,32.58
1997/8/13,922.02002,926.530029,935.77002,916.539978,32.58
1997/8/14,924.77002,922.02002,930.070007,916.919983,32.58
1997/8/15,900.809998,924.77002,924.77002,900.809998,32.58
1997/8/18,912.48999,900.809998,912.570007,893.340027,32.58
1997/8/19,926.01001,912.48999,926.01001,912.48999,32.58
1997/8/20,939.349976,926.01001,939.349976,924.580017,32.58
1997/8/21,925.049988,939.349976,939.469971,921.349976,32.58
